id,name,type,object_type,role,year,location,status
HG,Hildebrand Gurlitt ,1,,,,,
1,Porträt einer sitzenden jungen Frau,3,1,,,,
RG,Raphaël Gérard ,1,,,,,
HEG,Helene Gurlitt ,1,,,,,
CG,Cornelius Gurlitt,1,,,,,
STB,Stiftung Kunstmuseum Bern,2,,,,,
EGM,Erbe von George Mandel ,1,,,,,2
2,"Le Louvre, matin",3,1,,,,
3,Quai de Clichy. Temps gris,3,1,,,,2
PS,Paul Signac,1,,,,,
FF,Félix Fénéon,1,,,,,
GL,Gaston Prosper Lévy,1,,,,,
GB,Galerie George Bernheim,1,,,,,
MC,Marguerite de la Chapelle,1,,,,,
DB,Deutsche Besatzungsmacht,N/A,,,,,
KB,Nachtragen,,,,,,
